OCCI,Crtp,{provider_specific_path}/small/,GET,Crtp.occie
OCCI,Crtp,{provider_specific_path}/small/,POST,Crtp.occie
OCCI,Crtp,{provider_specific_path}/small/,PUT,Crtp.occie
OCCI,Crtp,{provider_specific_path}/small/,DELETE,Crtp.occie

OCCI,Crtp,{provider_specific_path}/medium/,GET,Crtp.occie
OCCI,Crtp,{provider_specific_path}/medium/,POST,Crtp.occie
OCCI,Crtp,{provider_specific_path}/medium/,PUT,Crtp.occie
OCCI,Crtp,{provider_specific_path}/medium/,DELETE,Crtp.occie

OCCI,Crtp,{provider_specific_path}/large/,GET,Crtp.occie
OCCI,Crtp,{provider_specific_path}/large/,POST,Crtp.occie
OCCI,Crtp,{provider_specific_path}/large/,PUT,Crtp.occie
OCCI,Crtp,{provider_specific_path}/large/,DELETE,Crtp.occie

OCCI,Crtp,{provider_specific_path}/mem_small/,GET,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_small/,POST,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_small/,PUT,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_small/,DELETE,Crtp.occie

OCCI,Crtp,{provider_specific_path}/mem_medium/,GET,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_medium/,POST,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_medium/,PUT,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_medium/,DELETE,Crtp.occie

OCCI,Crtp,{provider_specific_path}/mem_large/,GET,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_large/,POST,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_large/,PUT,Crtp.occie
OCCI,Crtp,{provider_specific_path}/mem_large/,DELETE,Crtp.occie

